cell_label,X,Y,class,subclass
1104095349102340134-2,6.711920405249702,3.8550029000003656,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340113-1,6.700417545914839,3.854500305219813,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340124,6.71175699864982,3.868457798425816,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340099,6.696622369863436,3.8702629169288985,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340133,6.711834152557625,3.844341865065196,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340162,6.723664523949056,3.864944106616335,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340088-1,6.689342505657804,3.8585196133699418,06 CTX-CGE GABA,046 Vip Gaba
1104095349102340085-1,6.689621595647537,3.850037191543098,30 Astro-Epen,319 Astro-TE NN
1104095349202340072,6.688022169956395,3.8687716008298105,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340118-1,6.70587302341948,3.8823763510496594,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340170-1,6.727304408620672,3.8493348206489952,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340151-1,6.722049139202984,3.8777262443256175,30 Astro-Epen,319 Astro-TE NN
1104095349102340182,6.7306874775865735,3.857728598174054,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340119,6.702151833691103,3.836182044276078,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340161-1,6.722980291814861,3.8413821669030073,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340180-1,6.7314381898692925,3.8699013426180047,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340084-1,6.693730223903168,3.883512227142953,01 IT-ET Glut,007 L2/3 IT CTX Glut
1104095349102340069-1,6.684647552682115,3.877790492434702,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340058-1,6.677521482981952,3.8657850746655336,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340166,6.72314708784732,3.833823276566037,30 Astro-Epen,319 Astro-TE NN
1104095349202340135,6.7166683426773615,3.8299013908708295,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340199-1,6.738982405495186,3.85456953215798,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340065-1,6.679836147805831,3.8422817400050224,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340184,6.737534083929085,3.8751034125936754,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349202340109,6.701371381447755,3.8256163601043327,06 CTX-CGE GABA,049 Lamp5 Gaba
1104095349102181034,6.673341444385036,3.846771067934767,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340098-1,6.700876893806889,3.896354717108936,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340146,6.724752717168399,3.893683666455093,30 Astro-Epen,319 Astro-TE NN
1104095349102340210-1,6.739583250688428,3.837731599995174,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102181027,6.668271038758982,3.851972374984461,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340144-1,6.712034802708032,3.820419412611221,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340128,6.712472818958345,3.899616408276271,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340216-1,6.745286209339098,3.846673444446903,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340188,6.73125221409124,3.826004639898171,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340106,6.693427310999928,3.820615749201437,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102181063,6.680234050704154,3.827353314672872,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340190,6.740570273857142,3.886318542733432,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102181070,6.684986442850641,3.823636979298541,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349202340155,6.721856957059557,3.8193940290548127,31 OPC-Oligo,327 Oligo NN
1104095349102340215-1,6.74773457229832,3.8752809918569335,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340062,6.6741817981285685,3.830796146408442,30 Astro-Epen,319 Astro-TE NN
1104095349202180915,6.664625124454712,3.872120927615459,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102181013-1,6.662486271865447,3.860786120017442,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340235,6.7526086647536,3.8521870714879776,33 Vascular,333 Endo NN
1104095349102340217-1,6.741507741252922,3.8282015915524585,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102181020,6.663635242932374,3.838799971139265,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340234-1,6.749936621998611,3.8367450768443527,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102181004-1,6.658902112022005,3.850546900895608,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340090,6.685908520373708,3.8155255207539134,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340167-1,6.721482645505982,3.810986175655046,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340108-1,6.694006100061241,3.809683238571576,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102181025,6.665059733543105,3.829182714413885,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102340248-2,6.756956146931159,3.84386673214549,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102181023,6.674483867635195,3.9011511042378233,30 Astro-Epen,319 Astro-TE NN
