ensembl_id,symbol
ENSMUSG00000026778,Prkcq
ENSMUSG00000026837,Col5a1
ENSMUSG00000001985,Grik3
ENSMUSG00000039323,Igfbp2
ENSMUSG00000048387,Osr1
ENSMUSG00000027849,Syt6
ENSMUSG00000033063,Cntnap3
ENSMUSG00000030226,Lmo3
ENSMUSG00000020902,Ntn1
ENSMUSG00000021685,Otp
ENSMUSG00000028222,Calb1
ENSMUSG00000028753,Vwa5b1
ENSMUSG00000033278,Ptprm
ENSMUSG00000060735,Rxfp3
ENSMUSG00000052560,Cpne8
ENSMUSG00000023046,Igfbp6
ENSMUSG00000042258,Isl1
ENSMUSG00000053930,Shisa6
ENSMUSG00000087461,C230014O12Rik
ENSMUSG00000028763,Hspg2
ENSMUSG00000028023,Pitx2
ENSMUSG00000000440,Pparg
ENSMUSG00000003657,Calb2
ENSMUSG00000021508,Cxcl14
ENSMUSG00000038530,Rgs4
ENSMUSG00000030500,Slc17a6
ENSMUSG00000034098,Fstl5
ENSMUSG00000044447,Dock5
ENSMUSG00000036760,Kcnk9
ENSMUSG00000046314,Stxbp6
ENSMUSG00000008575,Nfib
ENSMUSG00000020932,Gfap
ENSMUSG00000050953,Gja1
ENSMUSG00000020053,Igf1
ENSMUSG00000034353,Ramp1
ENSMUSG00000024985,Tcf7l2
ENSMUSG00000024990,Rbp4
ENSMUSG00000026315,Serpinb8
ENSMUSG00000036192,Rorb
ENSMUSG00000030022,Adamts9
ENSMUSG00000046318,Ccbe1
ENSMUSG00000029361,Nos1
ENSMUSG00000043969,Emx2
ENSMUSG00000048540,Nhlh2
ENSMUSG00000024411,Aqp4
ENSMUSG00000030495,Slc7a10
ENSMUSG00000020734,Grin2c
ENSMUSG00000003974,Grm3
ENSMUSG00000005360,Slc1a3
ENSMUSG00000005716,Pvalb
ENSMUSG00000017493,Igfbp4
ENSMUSG00000021536,Adcy2
ENSMUSG00000026235,Epha4
ENSMUSG00000026249,Serpine2
ENSMUSG00000052430,Bmpr1b
ENSMUSG00000032348,Gsta4
ENSMUSG00000034687,Fras1
ENSMUSG00000045672,Col27a1
ENSMUSG00000039114,Nrn1
ENSMUSG00000041540,Sox5
ENSMUSG00000040998,Npnt
ENSMUSG00000035451,Foxa1
ENSMUSG00000042793,Lgr6
ENSMUSG00000037771,Slc32a1
ENSMUSG00000049555,Tmie
ENSMUSG00000053441,Adamts19
ENSMUSG00000044167,Foxo1
ENSMUSG00000049001,Ndnf
ENSMUSG00000045515,Pou3f3
ENSMUSG00000048332,Lhfp
ENSMUSG00000050840,Cdh20
ENSMUSG00000031980,Agt
ENSMUSG00000039706,Ldb2
ENSMUSG00000059852,Kcng2
ENSMUSG00000066189,Cacng3
ENSMUSG00000066687,Zbtb16
ENSMUSG00000074637,Sox2
ENSMUSG00000038668,Lpar1
ENSMUSG00000022382,Wnt7b
ENSMUSG00000016386,Mpped2
ENSMUSG00000038370,Pcp4l1
ENSMUSG00000059325,Hopx
ENSMUSG00000054162,Spock3
ENSMUSG00000084890,A830036E02Rik
ENSMUSG00000050541,Adra1b
ENSMUSG00000018819,Lsp1
ENSMUSG00000006800,Sulf2
ENSMUSG00000026344,Lypd1
ENSMUSG00000024683,Mrpl16
ENSMUSG00000024647,Cbln2
ENSMUSG00000025255,Zfhx4
ENSMUSG00000026872,Zeb2
ENSMUSG00000062151,Unc13c
ENSMUSG00000021219,Rgs6
ENSMUSG00000102692,Dchs2
ENSMUSG00000051910,Sox6
ENSMUSG00000044071,Tafa2
ENSMUSG00000024420,Zfp521
ENSMUSG00000027253,Lrp4
ENSMUSG00000039037,St6galnac5
ENSMUSG00000026343,Gpr39
ENSMUSG00000025905,Oprk1
ENSMUSG00000110027,C030029H02Rik
ENSMUSG00000046480,Scn4b
