"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000070570",71.2496410119875,-4.47491926653808,0.188742525096464,-23.7091204764321,2.90354487900152e-124,1.25433138772866e-121
"ENSMUSG00000053025",32.6126541892715,-5.5258814741428,0.240896452951829,-22.9388245714344,1.90507369796222e-116,4.1149591875984e-114
"ENSMUSG00000027347",13.69728560766,-4.64782331352243,0.23586669885202,-19.705296831404,1.9420004486373e-86,2.79648064603771e-84
"ENSMUSG00000025810",7.23621254543777,-4.21379454862436,0.220775770123726,-19.0863089109049,3.28152906834372e-81,3.54405139381122e-79
"ENSMUSG00000078591",12.8210799999522,-4.10016254315367,0.216274367945243,-18.9581529337391,3.78194130901336e-80,3.26759729098754e-78
"ENSMUSG00000038530",10.756500983353,-4.22698255585952,0.229961631020284,-18.3812514161838,1.85636352690039e-75,1.33658173936828e-73
"ENSMUSG00000059173",9.83088326378345,-3.89279556472616,0.220629709007095,-17.6440225672462,1.13114456076087e-69,6.98077786069564e-68
"ENSMUSG00000025885",3.66456366043203,-3.73179000941046,0.21225866359193,-17.5813318818632,3.42437041922264e-69,1.84916002638023e-67
"ENSMUSG00000053930",5.44103390277675,-4.24094871476344,0.242510809644908,-17.4876687805099,1.77886529761178e-68,8.53855342853654e-67
"ENSMUSG00000000184",5.55255195545712,-3.30493071634375,0.191289095203828,-17.2771516997463,6.99165330770392e-67,3.0203942289281e-65
"ENSMUSG00000038296",3.58011990196975,-3.90267689941428,0.229399350207084,-17.0125891633575,6.62443656512771e-65,2.60159690557743e-63
"ENSMUSG00000056427",3.98396557614415,-4.12524327793305,0.243355515496703,-16.9515092744587,1.87576039740668e-64,6.75273743066405e-63
"ENSMUSG00000059456",6.00110150174561,-3.74182188399433,0.225469987097443,-16.5956539589334,7.49233057405076e-62,2.48975908306918e-60
"ENSMUSG00000044288",10.1342597313976,-4.2704146697666,0.258034444235908,-16.5497853684308,1.6067444120155e-61,4.95795418564783e-60
"ENSMUSG00000039114",6.25127545349541,-3.65704425845698,0.221218914386218,-16.5313362494505,2.18251128605909e-61,6.28563250385018e-60
"ENSMUSG00000030905",7.53385920877387,-4.11963659960155,0.258260588851994,-15.9514721851829,2.78259297335786e-57,7.51300102806622e-56
"ENSMUSG00000060371",4.6774976351526,-3.48598632221153,0.220810893672869,-15.7872026340151,3.81110016711933e-56,9.68467807173854e-55
"ENSMUSG00000038668",1.74475832514659,2.76152840436653,0.17583386934205,15.705326935589,1.39058958575583e-55,3.33741500581398e-54
"ENSMUSG00000039037",6.46119478663705,-3.60934836739213,0.230228414159008,-15.6772498328521,2.16423907115518e-55,4.92079620388967e-54
"ENSMUSG00000026235",8.79769407166211,-3.41547716358121,0.220959318434698,-15.4574932063371,6.71617860232959e-54,1.45069457810319e-52
"ENSMUSG00000050663",3.53451853435411,-3.78949757638949,0.245818019015835,-15.4158657349907,1.28043345896636e-53,2.63403454415937e-52
"ENSMUSG00000028004",3.07903219462051,-3.97632884048812,0.260109834767931,-15.287114553111,9.3188420831462e-53,1.82988171814507e-51
"ENSMUSG00000058624",4.05975405253881,-3.43721669511503,0.225563684237218,-15.2383425848827,1.96799495294541e-52,3.6964079116192e-51
"ENSMUSG00000005672",4.6646004734589,-3.83548228137455,0.257084061657288,-14.9191756838179,2.47309662060808e-50,4.45157391709454e-49
"ENSMUSG00000058420",3.0418391179887,-3.29882177983485,0.223948232561816,-14.7302871833305,4.11951511446815e-49,7.11852211780097e-48
"ENSMUSG00000028341",2.5922147914542,-3.18207765502643,0.227629176866214,-13.9792169827889,2.08772286809047e-44,3.4688318423657e-43
"ENSMUSG00000004633",0.677999440992955,3.11728993755793,0.225298627198763,13.8362580203731,1.54018125567455e-43,2.46429000907928e-42
"ENSMUSG00000021536",4.5295569171371,-2.61965172839994,0.192760531096999,-13.5901873349877,4.57906880168451e-42,7.06484900831324e-41
"ENSMUSG00000008575",10.4888091065562,-1.39912291014062,0.10376008875842,-13.4842108067017,1.93727298968729e-41,2.8858687294652e-40
"ENSMUSG00000000861",1.61746145870182,-2.95795497313157,0.223972067771001,-13.2068029847182,8.01571827209638e-40,1.15426343118188e-38
"ENSMUSG00000023886",2.20818498291908,-3.42605566163691,0.259909675874324,-13.1817164948239,1.11817405470672e-39,1.55822965043001e-38
"ENSMUSG00000023169",4.87603716226176,-2.0035991387593,0.153512656205391,-13.0516869962735,6.21556434202776e-39,8.39101186173747e-38
"ENSMUSG00000015568",1.81207249500826,-3.07472706635322,0.242853810327808,-12.6608145954263,9.74825405047721e-37,1.27613507569883e-35
"ENSMUSG00000047945",1.7620055707748,2.16673838614691,0.17844459500615,12.1423592912536,6.29833867107777e-34,8.0025950173694e-33
"ENSMUSG00000046593",1.76182814441902,-3.08787703684545,0.257692728299688,-11.9827868532416,4.37369424292313e-33,5.39838832269369e-32
"ENSMUSG00000058488",10.4322680645605,-2.92058801993624,0.24392638069359,-11.9732355788321,4.90767321320958e-33,5.8892078558515e-32
"ENSMUSG00000063531",1.96849943428608,-2.95099972956845,0.246967542274777,-11.9489375097119,6.57605632632536e-33,7.67799008911502e-32
"ENSMUSG00000059852",1.67390827018516,-2.76033448179175,0.23326333869666,-11.8335547163772,2.61814469757154e-32,2.97641712987081e-31
