"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000070570",10.0665726871916,-2.24613349905588,0.176633158073048,-12.7163751334106,4.79597504872061e-37,1.31889313839817e-34
"ENSMUSG00000078591",2.4948759106557,-2.3474315637847,0.221622368857572,-10.5920335383352,3.24465395553686e-26,4.46139918886318e-24
"ENSMUSG00000053025",2.25243419220861,-2.25448023471401,0.221221699319698,-10.1910447376862,2.17415039089935e-24,1.99297119165774e-22
"ENSMUSG00000020932",19.6623596958393,1.34782166585852,0.147593563320957,9.13198133801773,6.7256912284903e-20,4.62391271958708e-18
"ENSMUSG00000060371",1.08181251812195,-1.91912190472727,0.238303898248067,-8.05325434806577,8.06211204013544e-16,4.43416162207449e-14
"ENSMUSG00000059173",1.50145186426754,-1.6819090436452,0.214003247853398,-7.85926877519815,3.86382358740481e-15,1.7709191442272e-13
"ENSMUSG00000027347",1.39161644184792,-1.89575071821362,0.249245815916666,-7.60594801257348,2.82822969293719e-14,1.11109023651104e-12
"ENSMUSG00000025885",0.699091436388659,-1.93610846819853,0.26437933225227,-7.32322171973378,2.42087319238746e-13,8.3217515988319e-12
"ENSMUSG00000059456",1.03376550421967,-1.71313285151097,0.237341582963934,-7.21800550125804,5.27555827768375e-13,1.61197614040337e-11
"ENSMUSG00000044288",1.4343348467544,-2.01820773981609,0.2864719424189,-7.04504504969955,1.854015131491e-12,5.09854161160024e-11
"ENSMUSG00000000184",1.10911835887437,-1.43807083930065,0.214085531487286,-6.71727243457391,1.85157602331643e-11,4.62894005829108e-10
"ENSMUSG00000038530",1.2981398232939,-1.69031209932737,0.252746716955232,-6.68777074412709,2.26595738276438e-11,5.19281900216838e-10
"ENSMUSG00000053930",0.668240860302042,-1.78544527410126,0.269088873631826,-6.63515087043007,3.24170789710901e-11,6.85745901311522e-10
"ENSMUSG00000028341",0.574458652853288,-1.54527500296129,0.249960574704422,-6.18207493237115,6.32644812952559e-10,1.24269516829967e-08
"ENSMUSG00000030905",0.888665369899995,-1.49670476472059,0.261003246594911,-5.73442968333471,9.78410046520623e-09,1.79375175195448e-07
"ENSMUSG00000021508",2.31442228307287,-1.07659206129791,0.193484114610834,-5.5642400590008,2.63297282034225e-08,4.52542203496325e-07
"ENSMUSG00000021536",1.14401437071895,-0.97266265848696,0.176128805930958,-5.52245076179215,3.34303499998248e-08,5.40785073526578e-07
"ENSMUSG00000039114",0.918879108647105,-1.32867505610585,0.245730543814826,-5.40704071817417,6.40745807590855e-08,9.78917206041584e-07
"ENSMUSG00000024411",2.38082595701813,1.01296442625742,0.187927108444758,5.39019854368259,7.03798835734667e-08,1.01865620961597e-06
"ENSMUSG00000022949",0.867638660874732,1.2769777221559,0.24229638698054,5.27031268633181,1.36191547943109e-07,1.87263378421775e-06
"ENSMUSG00000058624",0.646283365777798,-1.20789467928019,0.243730947903061,-4.95585271247789,7.20137547777058e-07,9.43037264946147e-06
"ENSMUSG00000066687",1.09079698232975,-0.896853018643554,0.194526555708756,-4.61044002643175,4.01817551605511e-06,5.02271939506889e-05
"ENSMUSG00000031980",1.49752913136932,1.10031002597636,0.239905750644446,4.58642622371768,4.50897632928194e-06,5.39116735022841e-05
"ENSMUSG00000026249",5.28822586042798,-0.748875189267082,0.168308089507115,-4.44943075202233,8.60981837078157e-06,9.47080020785972e-05
"ENSMUSG00000039037",0.844921957865532,-1.09551335286602,0.246140092338513,-4.45077168232868,8.55622722712802e-06,9.47080020785972e-05
"ENSMUSG00000029361",0.514172536385153,-1.48264565088442,0.341274126822541,-4.34444200235366,1.39630126061901e-05,0.00014768571025778
"ENSMUSG00000059852",0.410231771419952,-1.25136033958844,0.293813550997157,-4.25902867768187,2.05317131003023e-05,0.000209119300095671
"ENSMUSG00000025810",0.633397893808893,-1.07645763715103,0.257183832950115,-4.18555717442717,2.84467451766847e-05,0.000279387675842439
"ENSMUSG00000020182",0.716915344304592,1.17967329493182,0.28748492249711,4.10342665864044,4.07075537467922e-05,0.000386019906219581
"ENSMUSG00000058420",0.465721753285377,-1.02274281989076,0.252075772773449,-4.05728328683906,4.96468487288406e-05,0.000455096113347706
"ENSMUSG00000001911",7.09378118827802,-0.320435025655423,0.0794191454247353,-4.03473273279043,5.46644841825434e-05,0.000484926875812885
"ENSMUSG00000026235",1.11254235808904,-0.714625378975655,0.189476609664068,-3.7715757118657,0.000162219920760623,0.0013940774440366
"ENSMUSG00000056427",0.354198782583223,-1.2263365514787,0.33294345236525,-3.68331782098952,0.000230217832062647,0.00191848193385539
"ENSMUSG00000044071",0.608041622935442,-1.00477861367377,0.281720335414942,-3.56658177406273,0.000361667987264243,0.00292525577934314
"ENSMUSG00000008575",4.48010550107359,-0.303491345887575,0.0859645344274713,-3.53042505154997,0.000414892544099357,0.00325986998935209
"ENSMUSG00000058488",1.07527806031248,0.667393581773421,0.196889334401709,3.3896888513613,0.000699719941861474,0.00534508288921959
"ENSMUSG00000026826",0.537608053719013,-0.998065404084944,0.308479991013478,-3.23542995708055,0.0012145968132497,0.00902740874712614
"ENSMUSG00000005360",3.45751232135948,-0.45190936552362,0.140111911717586,-3.2253457966836,0.00125820595939145,0.00910543786401707
"ENSMUSG00000050663",0.357688907451534,-0.978210632578562,0.318516002329134,-3.07115066566653,0.00213235521895598,0.0150358380823819
"ENSMUSG00000005672",0.488635749302418,-0.947189026090888,0.31079967182151,-3.04758695702502,0.00230686770907842,0.0158597154999141
"ENSMUSG00000026676",0.475998250795663,0.82942412009041,0.28905145625401,2.86946874732759,0.00411161962802208,0.0275779365294164
"ENSMUSG00000041540",0.494930671265159,-0.756330703663695,0.265519190543708,-2.84849732373372,0.00439262228103386,0.0287612173162931
"ENSMUSG00000045515",7.03194340134586,-0.226220923855769,0.0817765914129353,-2.76632860268599,0.00566913773013206,0.0362561133903794
"ENSMUSG00000048988",0.653855047484701,-0.801769946906015,0.293550608424492,-2.7312835466742,0.00630881673761605,0.0394301046101003
