"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000070570",120.861396058722,-1.97713114478043,0.301963934612399,-6.54757379326864,5.84793273641315e-11,9.29821305089691e-09
"ENSMUSG00000053025",31.5654056407479,-2.00240687371363,0.356216534455338,-5.62131928203543,1.89504667577896e-08,1.50656210724428e-06
"ENSMUSG00000078591",27.0397924569187,-2.06629865412356,0.402009109715838,-5.13992992741914,2.74840944945831e-07,1.4566570082129e-05
"ENSMUSG00000020932",466.175554713256,1.30445596782415,0.266115244551652,4.90184607808501,9.49402140508614e-07,3.77387350852174e-05
"ENSMUSG00000038530",17.808421857647,-1.84949447692789,0.440547617085595,-4.19817156012114,2.6907875388707e-05,0.000855670437360884
"ENSMUSG00000025885",8.84089371685847,-2.22190496629286,0.584195137454436,-3.80336093856337,0.00014274613862852,0.00378277267365579
"ENSMUSG00000030905",11.8609777989644,-1.71415789384365,0.464555530260394,-3.68988803745987,0.000224352771697389,0.00509601295712641
"ENSMUSG00000056427",5.64116172284783,-2.7297443643888,0.771936128786933,-3.53623086495315,0.000405879827351298,0.0071705436165396
"ENSMUSG00000060371",12.3199028516186,-1.82441459470304,0.513520549487059,-3.55275869003762,0.000381213988297885,0.0071705436165396
"ENSMUSG00000029381",16.5655776769702,-1.41729341093223,0.436383563467989,-3.2478157510536,0.00116294550597629,0.0184908335450229
"ENSMUSG00000024411",53.2858411822961,1.00487654731319,0.312245473966263,3.21822614287683,0.0012898607791865,0.0186443512627867
"ENSMUSG00000059456",13.0309739424201,-1.41342717053015,0.466629862097403,-3.02901139712125,0.00245355426706935,0.0325095940386689
"ENSMUSG00000003657",4.68772757844575,2.56328731150668,0.885415721969857,2.89500993477271,0.00379146532792578,0.0354613521847176
"ENSMUSG00000028341",8.08168393418955,-1.75344427996134,0.59571114870414,-2.94344714510655,0.00324579241512466,0.0354613521847176
"ENSMUSG00000044288",18.1008481979845,-1.35171716195877,0.461867180772199,-2.92663609416635,0.00342649552310153,0.0354613521847176
"ENSMUSG00000022949",13.1199384819344,1.41066523555968,0.475099835945705,2.96919747983431,0.00298578645168929,0.0354613521847176
