motif,label,predicted_occurrence_number
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 0, 0]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 0, 1]",19.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 0, 2]",1.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 0, 3]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 0, 4]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 0, 5]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 0, 6]",3.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 0, 7]",1.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 1, 1]",30.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 1, 2]",13.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 1, 3]",10.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 1, 4]",2.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 1, 5]",1.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 1, 6]",23.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 1, 7]",18.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 2, 2]",6.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 2, 3]",1.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 2, 4]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 2, 5]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 2, 6]",7.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 2, 7]",7.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 3, 3]",5.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 3, 4]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 3, 5]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 3, 6]",4.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 3, 7]",2.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 4, 4]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 4, 5]",1.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 4, 6]",1.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 4, 7]",1.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 5, 5]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 5, 6]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 5, 7]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 6, 6]",21.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 6, 7]",12.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 7, 7]",1.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 1, 1]",363.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 1, 2]",144.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 1, 3]",185.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 1, 4]",61.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 1, 5]",88.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 1, 6]",325.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 1, 7]",279.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 2, 2]",62.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 2, 3]",17.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 2, 4]",8.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 2, 5]",3.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 2, 6]",62.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 2, 7]",61.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 3, 3]",77.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 3, 4]",10.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 3, 5]",9.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 3, 6]",69.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 3, 7]",63.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 4, 4]",15.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 4, 5]",1.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 4, 6]",28.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 4, 7]",10.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 5, 5]",6.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 5, 6]",15.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 5, 7]",6.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 6, 6]",126.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 6, 7]",70.0
