motif,label,predicted_occurrence_number
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 0, 0]",1625.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 0, 1]",1640.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 0, 2]",1557.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 0, 3]",1377.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 0, 4]",1708.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 0, 5]",352.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 0, 6]",1112.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 0, 7]",1553.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 1, 1]",24.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 1, 2]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 1, 3]",14.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 1, 4]",12.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 1, 5]",6.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 1, 6]",12.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 1, 7]",20.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 2, 2]",26.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 2, 3]",18.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 2, 4]",13.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 2, 5]",6.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 2, 6]",23.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 2, 7]",25.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 3, 3]",203.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 3, 4]",99.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 3, 5]",60.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 3, 6]",201.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 3, 7]",163.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 4, 4]",209.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 4, 5]",101.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 4, 6]",201.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 4, 7]",187.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 5, 5]",155.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 5, 6]",87.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 5, 7]",97.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 6, 6]",152.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 6, 7]",107.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[0, 7, 7]",13.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 1, 1]",108.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 1, 2]",3.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 1, 3]",47.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 1, 4]",61.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 1, 5]",48.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 1, 6]",85.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 1, 7]",81.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 2, 2]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 2, 3]",1.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 2, 4]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 2, 5]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 2, 6]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 2, 7]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 3, 3]",15.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 3, 4]",7.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 3, 5]",6.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 3, 6]",9.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 3, 7]",9.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 4, 4]",66.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 4, 5]",8.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 4, 6]",34.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 4, 7]",24.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 5, 5]",31.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 5, 6]",18.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 5, 7]",25.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 6, 6]",8.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 6, 7]",5.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 7, 7]",4.0
