motif,occ,expected,enrichment,rank_raw,rank_enrich
Immune+Immune+Immune,4.0,0.013711929129216089,291.7167936258638,107,1.0
Immune+Immune+OPC-Oligo,39.0,0.4633825461608614,84.16372244297114,54,2.0
CTX-CGE GABA+CTX-CGE GABA+Immune,5.0,0.06277121881644596,79.65433990728899,104,3.0
CTX-CGE GABA+CTX-CGE GABA+CTX-CGE GABA,2.0,0.02584697245383069,77.37850162422357,111,4.0
Immune+NP-CT-L6b Glut+NP-CT-L6b Glut,81.0,1.0527345450486043,76.9424736567947,39,5.0
NP-CT-L6b Glut+NP-CT-L6b Glut+NP-CT-L6b Glut,108.0,1.7751994289054898,60.83823498444232,29,6.0
Immune+Immune+Vascular,18.0,0.32061716640372917,56.141722546864344,75,7.0
Immune+OPC-Oligo+OPC-Oligo,263.0,5.219868093517939,50.38441494845336,17,8.0
Immune+Vascular+Vascular,100.0,2.4989279146173007,40.01716072522826,32,9.0
CTX-CGE GABA+Immune+Immune,2.0,0.050814796184741974,39.35861501301337,111,10.0
Astro+Immune+Immune,33.0,1.5401722748375364,21.42617455146761,58,11.0
Immune+Immune+NP-CT-L6b Glut,4.0,0.20809868913751475,19.221649192401877,107,12.0
Astro+Astro+Immune,1065.0,57.66586193729954,18.468465817054486,10,13.0
CTX-CGE GABA+Immune+OPC-Oligo,21.0,1.1448274669856577,18.343375404237296,72,14.0
CTX-CGE GABA+CTX-CGE GABA+CTX-MGE GABA,6.0,0.328625792627276,18.257848697850502,100,15.0
IT-ET Glut+IT-ET Glut+Immune,1553.0,93.5035307154563,16.608998485051714,5,16.0
CTX-CGE GABA+CTX-CGE GABA+Vascular,8.0,0.4892462643046524,16.351683362100076,94,17.0
OPC-Oligo+OPC-Oligo+OPC-Oligo,309.0,19.600092939385988,15.765231366789633,16,18.0
CTX-CGE GABA+IT-ET Glut+IT-ET Glut,1557.0,115.50436147203425,13.480010452912452,4,19.0
Vascular+Vascular+Vascular,80.0,6.492312719348871,12.322265340296697,40,20.0
Immune+OPC-Oligo+Vascular,83.0,7.22331616074284,11.49056723435242,38,21.0
CTX-CGE GABA+Immune+Vascular,9.0,0.7921129993503897,11.362015277341595,91,22.0
CTX-CGE GABA+CTX-MGE GABA+CTX-MGE GABA,15.0,1.3927474068489316,10.77007928805788,78,23.0
NP-CT-L6b Glut+NP-CT-L6b Glut+Vascular,85.0,8.205136895231771,10.359364028331546,37,24.0
Astro+Immune+OPC-Oligo,351.0,34.69917536839862,10.115514166358668,15,25.0
CTX-CGE GABA+CTX-MGE GABA+Vascular,39.0,4.146944526010864,9.404514517949409,54,26.0
CTX-CGE GABA+CTX-MGE GABA+Immune,5.0,0.5320608071108278,9.39742212389364,104,27.0
CTX-MGE GABA+Immune+Vascular,30.0,3.357050330580223,8.93641651026867,63,28.0
CTX-CGE GABA+CTX-CGE GABA+IT-ET Glut,26.0,2.992710167689968,8.687777480326151,64,29.0
CTX-MGE GABA+NP-CT-L6b Glut+NP-CT-L6b Glut,47.0,5.511374971136812,8.527817513077952,51,30.0
CTX-MGE GABA+IT-ET Glut+Immune,163.0,20.53501353158695,7.937662166585547,25,31.0
CTX-MGE GABA+CTX-MGE GABA+CTX-MGE GABA,15.0,1.9675320509453167,7.623763990422991,78,32.0
CTX-MGE GABA+CTX-MGE GABA+Immune,8.0,1.1274621864967542,7.095581648602838,94,33.0
IT-ET Glut+Immune+Immune,13.0,1.961209157511113,6.6285637868924425,84,34.0
CTX-MGE GABA+Immune+OPC-Oligo,31.0,4.851887836272549,6.389265590239958,61,35.0
Astro+Immune+Vascular,147.0,24.008567813643957,6.122814202872218,28,36.0
OPC-Oligo+OPC-Oligo+Vascular,244.0,40.68426602300747,5.997404496913251,19,37.0
CTX-MGE GABA+CTX-MGE GABA+Vascular,49.0,8.78757292416588,5.576056144609588,48,38.0
Immune+NP-CT-L6b Glut+OPC-Oligo,25.0,4.6883410552745985,5.332376570999214,65,39.0
CTX-CGE GABA+IT-ET Glut+Immune,25.0,4.845340271498044,5.159596354266095,65,40.0
CTX-MGE GABA+Vascular+Vascular,56.0,13.082622611819989,4.280487304541269,46,41.0
CTX-CGE GABA+CTX-CGE GABA+OPC-Oligo,3.0,0.7070993178440825,4.242685467646723,109,42.0
CTX-MGE GABA+Immune+NP-CT-L6b Glut,9.0,2.17891568626339,4.130494840502089,91,43.0
NP-CT-L6b Glut+NP-CT-L6b Glut+OPC-Oligo,48.0,11.858745022165163,4.047645843660798,50,44.0
CTX-MGE GABA+CTX-MGE GABA+IT-ET Glut,203.0,53.75341777385996,3.776504051407834,21,45.0
Astro+CTX-CGE GABA+Immune,14.0,3.805131502539796,3.679242094696458,81,46.0
IT-ET Glut+Immune+Vascular,107.0,30.57178980826147,3.4999586439353707,30,47.0
IT-ET Glut+IT-ET Glut+NP-CT-L6b Glut,1640.0,473.01786126642605,3.467099520532216,2,48.0
CTX-CGE GABA+OPC-Oligo+OPC-Oligo,22.0,6.448072350816278,3.4118723865148572,71,49.0
OPC-Oligo+Vascular+Vascular,94.0,28.149687979365485,3.3392910098649993,35,50.0
CTX-CGE GABA+Vascular+Vascular,10.0,3.0869109533507837,3.2394844396613345,88,51.0
Astro+CTX-CGE GABA+CTX-CGE GABA,7.0,2.350228280980462,2.978434076659038,97,52.0
CTX-MGE GABA+IT-ET Glut+IT-ET Glut,1377.0,489.5184843338595,2.8129683435219657,6,53.0
Astro+Vascular+Vascular,257.0,93.56280103846541,2.746818149387624,18,54.0
Astro+CTX-MGE GABA+Immune,43.0,16.126509701240092,2.666417023684511,53,55.0
CTX-MGE GABA+CTX-MGE GABA+NP-CT-L6b Glut,15.0,5.703632237571817,2.629903081967621,78,56.0
CTX-CGE GABA+OPC-Oligo+Vascular,23.0,8.922919963270568,2.5776315482683856,69,57.0
Astro+Astro+Vascular,1076.0,449.454512158364,2.3940131223354464,8,58.0
CTX-CGE GABA+NP-CT-L6b Glut+NP-CT-L6b Glut,3.0,1.3004367909423937,2.306917199586437,109,59.0
Astro+OPC-Oligo+OPC-Oligo,435.0,195.43800244259813,2.225769781533473,12,60.0
IT-ET Glut+Immune+OPC-Oligo,97.0,44.18488866627979,2.195320683789041,34,61.0
CTX-MGE GABA+OPC-Oligo+OPC-Oligo,49.0,27.327544724888035,1.793062658694478,48,62.0
Astro+Astro+OPC-Oligo,1044.0,649.5889741760507,1.6071701360452226,11,63.0
Astro+NP-CT-L6b Glut+NP-CT-L6b Glut,61.0,39.41561987784922,1.5476098102488747,44,64.0
Immune+NP-CT-L6b Glut+Vascular,5.0,3.243891330673025,1.5413586616548671,104,65.0
Astro+Immune+NP-CT-L6b Glut,24.0,15.58291948659155,1.5401478535938657,67,66.0
IT-ET Glut+IT-ET Glut+Vascular,1112.0,728.7775188116448,1.52584289621508,7,67.0
Astro+Astro+Astro,1075.0,719.6925710410029,1.4936933397062315,9,68.0
CTX-MGE GABA+OPC-Oligo+Vascular,51.0,37.816184606241926,1.3486289146045145,47,69.0
Astro+OPC-Oligo+Vascular,362.0,270.44945507722457,1.338512587857254,13,70.0
IT-ET Glut+Vascular+Vascular,152.0,119.14006322337193,1.2758092944354078,27,71.0
Astro+IT-ET Glut+Immune,187.0,146.85995632421452,1.2733219093921733,24,72.0
CTX-MGE GABA+IT-ET Glut+Vascular,201.0,160.05231134913362,1.255839408414067,22,73.0
NP-CT-L6b Glut+OPC-Oligo+OPC-Oligo,31.0,26.40639153191428,1.1739582048737696,61,74.0
Astro+CTX-CGE GABA+Vascular,33.0,29.657642593324884,1.1126980135443196,58,75.0
IT-ET Glut+IT-ET Glut+IT-ET Glut,1625.0,1485.9727773505358,1.093559737276848,3,76.0
IT-ET Glut+Immune+NP-CT-L6b Glut,20.0,19.842822064230088,1.007921148275237,73,77.0
CTX-CGE GABA+CTX-MGE GABA+OPC-Oligo,5.0,5.993508503630795,0.8342359065597488,104,78.0
CTX-MGE GABA+CTX-MGE GABA+OPC-Oligo,10.0,12.700529924360499,0.7873687207979649,88,79.0
Astro+CTX-MGE GABA+CTX-MGE GABA,31.0,42.21351068854024,0.7343620441503723,61,80.0
CTX-CGE GABA+CTX-MGE GABA+IT-ET Glut,18.0,25.366781421372117,0.7095894311934494,75,81.0
Astro+CTX-CGE GABA+CTX-MGE GABA,13.0,19.92098257212011,0.6525782527511373,84,82.0
NP-CT-L6b Glut+Vascular+Vascular,8.0,12.641635332769878,0.63282951844547,94,83.0
IT-ET Glut+OPC-Oligo+OPC-Oligo,155.0,248.8648876350759,0.6228279186868857,26,84.0
CTX-CGE GABA+IT-ET Glut+Vascular,23.0,37.7651521160877,0.6090270715526168,69,85.0
Astro+CTX-MGE GABA+Vascular,74.0,125.69191384790074,0.5887411348477604,41,86.0
CTX-MGE GABA+NP-CT-L6b Glut+Vascular,9.0,16.98272520175878,0.5299502814229093,91,87.0
Astro+Astro+CTX-CGE GABA,36.0,71.23430004019355,0.5053745173278492,56,88.0
NP-CT-L6b Glut+OPC-Oligo+Vascular,18.0,36.54148175434614,0.49259086210588965,75,89.0
Astro+IT-ET Glut+IT-ET Glut,1708.0,3500.882194140467,0.4878770279270555,1,90.0
IT-ET Glut+NP-CT-L6b Glut+NP-CT-L6b Glut,24.0,50.19066757422905,0.47817654476313565,67,91.0
CTX-CGE GABA+CTX-MGE GABA+NP-CT-L6b Glut,1.0,2.6916017300900705,0.37152599094463223,113,92.0
Astro+CTX-CGE GABA+OPC-Oligo,15.0,42.863687219786534,0.3499465625317406,78,93.0
IT-ET Glut+IT-ET Glut+OPC-Oligo,352.0,1053.2897724711695,0.3341910357433333,14,94.0
Astro+NP-CT-L6b Glut+Vascular,34.0,121.45510776314002,0.2799388237035391,57,95.0
CTX-MGE GABA+IT-ET Glut+OPC-Oligo,60.0,231.32088772346478,0.2593799487391199,45,96.0
IT-ET Glut+OPC-Oligo+Vascular,87.0,344.38222048718075,0.2526262821493088,36,97.0
Astro+CTX-MGE GABA+OPC-Oligo,45.0,181.660388693381,0.24771498246628834,52,98.0
CTX-MGE GABA+NP-CT-L6b Glut+OPC-Oligo,6.0,24.54484434820231,0.2444505214570426,100,99.0
Astro+Astro+CTX-MGE GABA,71.0,301.8977477893917,0.23517896546061895,42,100.0
Astro+Astro+NP-CT-L6b Glut,66.0,291.7214192122212,0.2262432432223511,43,101.0
Astro+IT-ET Glut+Vascular,201.0,1144.6437772328486,0.17560048287329455,22,102.0
CTX-MGE GABA+IT-ET Glut+NP-CT-L6b Glut,14.0,103.88300963038105,0.13476698499410472,81,103.0
Astro+CTX-MGE GABA+IT-ET Glut,99.0,768.8550654620643,0.12876288971381525,33,104.0
CTX-CGE GABA+IT-ET Glut+OPC-Oligo,6.0,54.58133305834562,0.1099276925608651,100,105.0
Astro+CTX-MGE GABA+NP-CT-L6b Glut,7.0,81.58116672392048,0.08580411731164327,97,106.0
IT-ET Glut+NP-CT-L6b Glut+Vascular,12.0,154.65728961826395,0.07759091103703711,86,107.0
Astro+Astro+IT-ET Glut,209.0,2749.3047705988984,0.07601921847117452,20,108.0
Astro+CTX-CGE GABA+IT-ET Glut,13.0,181.41524016520617,0.07165880875367209,84,109.0
Astro+IT-ET Glut+OPC-Oligo,101.0,1654.3342138874755,0.06105175069955352,31,110.0
Astro+NP-CT-L6b Glut+OPC-Oligo,8.0,175.53700480484014,0.04557443605064528,94,111.0
IT-ET Glut+NP-CT-L6b Glut+OPC-Oligo,6.0,223.5235544294154,0.026842808648583336,100,112.0
Astro+IT-ET Glut+NP-CT-L6b Glut,12.0,742.9386025813207,0.01615207496057725,86,113.0
Astro+CTX-CGE GABA+NP-CT-L6b Glut,0.0,19.249488777554266,0.0,117,117.0
CTX-CGE GABA+Immune+NP-CT-L6b Glut,0.0,0.5141261731632717,0.0,117,117.0
CTX-CGE GABA+NP-CT-L6b Glut+Vascular,0.0,4.007159879066678,0.0,117,117.0
CTX-CGE GABA+CTX-CGE GABA+NP-CT-L6b Glut,0.0,0.3175485187184914,0.0,117,117.0
CTX-CGE GABA+IT-ET Glut+NP-CT-L6b Glut,0.0,24.511721373460695,0.0,117,117.0
CTX-CGE GABA+NP-CT-L6b Glut+OPC-Oligo,0.0,5.791480127103915,0.0,117,117.0
CTX-MGE GABA+Immune+Immune,0.0,0.21535794573533504,0.0,117,117.0
