motif,ids,obs,null_mean,z,p_enrich,fdr
NP-CT-L6b Glut+NP-CT-L6b Glut+NP-CT-L6b Glut,"(np.int64(1), np.int64(1), np.int64(1))",113,0.64,133.34,0.0004997501249375312,0.007710430499036196
IT-ET Glut+IT-ET Glut+IT-ET Glut,"(np.int64(0), np.int64(0), np.int64(0))",2397,537.79,76.75,0.0004997501249375312,0.05397301349325337
Astro-Epen+Astro-Epen+Astro-Epen,"(np.int64(4), np.int64(4), np.int64(4))",1524,260.22,71.06,0.0004997501249375312,0.004906637590295761
OPC-Oligo+OPC-Oligo+OPC-Oligo,"(np.int64(5), np.int64(5), np.int64(5))",111,7.04,35.3,0.0004997501249375312,0.0026986506746626685
Astro-Epen+OPC-Oligo+OPC-Oligo,"(np.int64(4), np.int64(5), np.int64(5))",282,70.57,23.11,0.0004997501249375312,0.0020758851343558988
NP-CT-L6b Glut+NP-CT-L6b Glut+CTX-MGE GABA,"(np.int64(1), np.int64(1), np.int64(3))",34,2.04,21.58,0.0004997501249375312,0.006746626686656671
NP-CT-L6b Glut+NP-CT-L6b Glut+Vascular,"(np.int64(1), np.int64(1), np.int64(6))",29,3.02,14.06,0.0004997501249375312,0.013493253373313342
CTX-CGE GABA+CTX-CGE GABA+CTX-CGE GABA,"(np.int64(2), np.int64(2), np.int64(2))",1,0.01,11.14,0.00849575212393803,0.001927607624759049
Astro-Epen+Astro-Epen+OPC-Oligo,"(np.int64(4), np.int64(4), np.int64(5))",408,235.66,9.89,0.0004997501249375312,0.004497751124437781
IT-ET Glut+NP-CT-L6b Glut+NP-CT-L6b Glut,"(np.int64(0), np.int64(1), np.int64(1))",67,18.17,9.89,0.0004997501249375312,0.017991004497751123
CTX-CGE GABA+Vascular+Vascular,"(np.int64(2), np.int64(6), np.int64(6))",12,1.18,9.42,0.0004997501249375312,0.003855215249518098
OPC-Oligo+Vascular+Vascular,"(np.int64(5), np.int64(6), np.int64(6))",42,10.16,9.19,0.0004997501249375312,0.0023466527605762334
NP-CT-L6b Glut+NP-CT-L6b Glut+Immune,"(np.int64(1), np.int64(1), np.int64(7))",6,0.35,8.91,0.0004997501249375312,0.005997001499250375
NP-CT-L6b Glut+NP-CT-L6b Glut+Astro-Epen,"(np.int64(1), np.int64(1), np.int64(4))",52,14.33,8.6,0.0004997501249375312,0.010794602698650674
NP-CT-L6b Glut+NP-CT-L6b Glut+OPC-Oligo,"(np.int64(1), np.int64(1), np.int64(5))",23,4.25,8.42,0.0004997501249375312,0.008995502248875561
IT-ET Glut+IT-ET Glut+CTX-MGE GABA,"(np.int64(0), np.int64(0), np.int64(3))",303,177.45,8.35,0.0004997501249375312,0.026986506746626684
OPC-Oligo+Vascular+Immune,"(np.int64(5), np.int64(6), np.int64(7))",17,2.67,8.32,0.0004997501249375312,0.0033733133433283356
OPC-Oligo+OPC-Oligo+Vascular,"(np.int64(5), np.int64(5), np.int64(6))",49,14.81,8.11,0.0004997501249375312,0.0024533187951478806
Astro-Epen+OPC-Oligo+Immune,"(np.int64(4), np.int64(5), np.int64(7))",44,12.62,7.88,0.0004997501249375312,0.003174883146661963
